Type,TC ID,Name / Title,Preconditions,Steps to be executed,Test Data,Expected results,Actual Results,Priority,Status,Requirement Traceability,Bugs Traceability,Test Type
Postive,FACEBOOK_ADD_Story_GUI_027,Verify that the story can be replied on (emoji only),"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1.open story 
2.Tap emoji icon",_,emoji sent to Story's owner,emoji sent to Story's owner,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_028,Verify that a drowing can be added to story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Select a photo/video
4- Tap on Drawing button
5- Make a drawing
6- Tap on Share",_,A story is shared with drawing added to it,A story is shared with drawing added to it,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_029,Verify that animation can be added to story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Select a photo/video
4- Tap on anitmation button
5- Make a drawing
6- Tap on Share",_,A story is shared with animation added to it,A story is shared with animation added to it,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_030,Verify that music can be added to photo Story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Select a photo/video
4- Tap  Music
5- Search for music
6- Tap on Share","Test image ,song",Story shared Successfully with music,Story shared Successfully with music,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_031,Verify tagging Friends in a story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened
4-have Friends on Facebook","1- Tap on Create a new story
2- Select a photo/video
4- Write'@'and select Friends name
6- Tap on Share",Test image ,Story shared Successfully and friend mentioned,Story shared Successfully and friend mentioned,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_032,Verify Reporting a story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1.At the top of your Feed, go to the Stories section and tap to open the story.
2.Tap to find the photo or video you want to report.
Click in the top right.
3.Click Find support or report story",Story to report ,Story reported Successfully,Story reported Successfully,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_033,Verify Adding multiple Videos in collage story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Tap Select multiple
4.Tap photo collage
6- Tap on Share",vedios to test,Story shared Successfully ,Story shared Successfully ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_034,Verify adding multiple Videos in saperate storys,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Tap Select multiple
4.Tap Saperate stories
6- Tap on Share",vedios to test,Story shared Successfully videos in sapetate stories ,Story shared Successfully videos in sapetate stories ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_035,Verify Write Text on story,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.select photo
4.Tap to Text
5.Write Text
6- Tap on Share","test photo + ""my first story""",Story shared Successfully with text on it ,Story shared Successfully with text on it ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_036,Verify adding Stickers to photo.,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.select photo
4.Tap to stickers
5.Select sticker
6- Tap on Share",test photo + sticker,Story shared Successfully with sticker on it ,Story shared Successfully with sticker on it ,High,Pass,FR 2: Add Story,,Manual
Postive,FACEBOOK_ADD_Story_GUI_037,Verify adding photo with Effects ,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.select photo
4.Tap to effects
5.Select effect
6- Tap on Share",test photo + effect,Story shared Successfully with effect on it ,Story shared Successfully with effect on it ,High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_038,verify adding corrupted photo,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Add corrupted photo
4- Tap on Share",Corrupted photo,"Error massage""uable to share photo""","Error massage""uable to share photo""",High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_039,verify adding high quality photo,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Add high resolution photo
4- Tap on Share",High resolution photo,Story shard Successfully,Story shard Successfully,High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_040,verify adding low quality photo,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Add low resolution photo
4- Tap on Share",Low resolution photo,Story shared Successfully,Story shared Successfully,High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_041,verify adding corrupted video,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Add corrupted photo
4- Tap on Share",Corrupted video,"Error massage""uable to share video""","Error massage""uable to share video""",High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_042,verify adding large video size,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Add very large video size
4- Tap on Share",vedios to test,"Error massage""unable to share video""","Error massage""unable to share video""",High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_043,verify selecting more than 15 photo,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.select multiple photos more than 15
4- Tap on Share",test photos,"Error massage""uable to share more than 15 photo""","Error massage""uable to share more than 15 photo""",High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_044,verify using camera when camera permission is denyed,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Tap Camera icon
3.deny camera permission
4- Tap on Share",_,Error massage back to Field of story,Error massage back to Field of story,High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_045,Verify adding story with no internet connection,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Select photo
4- Tap on Share",test photo,"Error massage""no internet connection""","Error massage""no internet connection""",High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_046,Verify adding stickers with no internet connection,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Select photo
4.add Stickers
4- Tap on Share",test photo,"Error massage""no internet connection""","Error massage""no internet connection""",High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_047,"Verify setting story privacy to friends, an unfriend cannot see the story","1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Select photo
4.edit privacy to Friends
4- Tap on Share",test photo,only Friends can see the Story,only Friends can see the Story,High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_048,Verify setting story privacy to custom ,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Select photo
4.edit privacy to custom
4- Tap on Share",test photo,only selected Friends can see the Story,only selected Friends can see the Story,High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_049,"Verify using Location ,when location permession is denyed","1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Select photo
4.Tap Location icon
5.deny location permission
6- Tap on Share",test photo,"Error massage""cannot access location""","Error massage""cannot access location""",High,Pass,FR 2: Add Story,,Manual
Negative,FACEBOOK_ADD_Story_GUI_050,Verify user cannot add or search for GIF while internet connection is lost,"1- Open application successfully
2- Log in with valid username and password
3- Home Page is opened","1- Tap on Create a new story
2- Open Gallery
3.Select photo
4add stickers
5- Tap on Share",_,"Error massage""no internet connection""","Error massage""no internet connection""",High,Pass,FR 2: Add Story,,Manual
